temp,hum,datetime
76.1,42.20000076293945,2020-11-29 16:23:05.368505
76.1,42.20000076293945,2020-11-29 16:23:33.528034
76.1,43.400001525878906,2020-11-29 16:23:56.622283
76.1,42.5,2020-11-29 16:24:32.368645
76.1,42.5,2020-11-29 16:24:52.930972
76.1,43.29999923706055,2020-11-29 16:25:26.153221
75.56000137329102,42.0,2020-11-29 16:26:04.444504
75.2,42.400001525878906,2020-11-29 16:26:40.198623
74.83999862670899,42.79999923706055,2020-11-29 16:27:31.145727
74.48000068664551,43.099998474121094,2020-11-29 16:27:56.765379
74.3,43.20000076293945,2020-11-29 16:28:17.327811
74.1199993133545,43.599998474121094,2020-11-29 16:28:42.957884
73.93999862670898,43.599998474121094,2020-11-29 16:29:11.116785
73.76000137329102,43.70000076293945,2020-11-29 16:29:59.529392
73.5800006866455,43.79999923706055,2020-11-29 16:30:25.158390
73.5800006866455,44.099998474121094,2020-11-29 16:30:48.255884
73.5800006866455,44.29999923706055,2020-11-29 16:31:16.418571
73.4,44.5,2020-11-29 16:31:36.978653
73.4,44.599998474121094,2020-11-29 16:32:25.397706
73.21999931335449,44.5,2020-11-29 16:32:56.078740
73.21999931335449,44.400001525878906,2020-11-29 16:33:34.372621
73.21999931335449,44.29999923706055,2020-11-29 16:33:59.995372
73.21999931335449,45.5,2020-11-29 16:34:33.225979
73.21999931335449,46.20000076293945,2020-11-29 16:34:58.855755
73.4,45.70000076293945,2020-11-29 16:35:19.418251
73.5800006866455,45.599998474121094,2020-11-29 16:35:45.031477
73.76000137329102,45.5,2020-11-29 16:36:05.588490
73.93999862670898,45.099998474121094,2020-11-29 16:36:31.214876
74.3,44.900001525878906,2020-11-29 16:36:54.308608
74.48000068664551,44.5,2020-11-29 16:37:22.474596
74.48000068664551,44.599998474121094,2020-11-29 16:38:08.359777
74.3,44.79999923706055,2020-11-29 16:38:36.517922
74.1199993133545,44.599998474121094,2020-11-29 16:39:02.144705
74.1199993133545,43.79999923706055,2020-11-29 16:39:22.698419
73.93999862670898,43.5,2020-11-29 16:39:48.328662
73.93999862670898,44.0,2020-11-29 16:40:13.955658
73.76000137329102,44.20000076293945,2020-11-29 16:40:39.584900
73.76000137329102,44.20000076293945,2020-11-29 16:41:00.148136
73.76000137329102,44.70000076293945,2020-11-29 16:41:25.778394
73.5800006866455,44.900001525878906,2020-11-29 16:41:56.469151
73.5800006866455,45.0,2020-11-29 16:42:22.097421
73.4,44.400001525878906,2020-11-29 16:42:57.858764
73.4,44.400001525878906,2020-11-29 16:43:26.017440
73.4,44.599998474121094,2020-11-29 16:43:51.635292
73.4,44.5,2020-11-29 16:44:12.198053
73.21999931335449,44.599998474121094,2020-11-29 16:44:42.886278
73.21999931335449,44.79999923706055,2020-11-29 16:45:16.115258
73.21999931335449,44.79999923706055,2020-11-29 16:45:36.677740
73.21999931335449,45.0,2020-11-29 16:46:12.433107
73.21999931335449,44.20000076293945,2020-11-29 16:46:32.995664
73.03999862670898,42.900001525878906,2020-11-29 16:46:53.557930
72.86000137329101,42.900001525878906,2020-11-29 16:47:16.656309
49.819999313354494,43.400001525878906,2020-11-29 16:47:37.198711
72.68000068664551,43.400001525878906,2020-11-29 16:48:30.687287
72.68000068664551,43.599998474121094,2020-11-29 16:48:53.783165
72.5,43.900001525878906,2020-11-29 16:49:19.403687
72.5,43.599998474121094,2020-11-29 16:49:47.545668
72.5,43.70000076293945,2020-11-29 16:50:28.348469
72.5,43.400001525878906,2020-11-29 16:50:53.977071
72.5,43.79999923706055,2020-11-29 16:51:22.137874
72.5,43.599998474121094,2020-11-29 16:51:47.764819
72.5,43.400001525878906,2020-11-29 16:52:08.327496
72.5,43.79999923706055,2020-11-29 16:52:31.418672
72.5,43.70000076293945,2020-11-29 16:52:51.978700
72.5,44.900001525878906,2020-11-29 16:53:15.075489
72.5,44.29999923706055,2020-11-29 16:53:53.363741
72.5,44.29999923706055,2020-11-29 16:54:16.458297
72.31999931335449,44.0,2020-11-29 16:54:44.609088
72.5,44.0,2020-11-29 16:55:27.964006
72.5,44.0,2020-11-29 16:56:11.315996
72.5,44.20000076293945,2020-11-29 16:56:39.476673
72.5,44.29999923706055,2020-11-29 16:57:02.570913
72.5,44.70000076293945,2020-11-29 16:57:23.132814
72.5,45.0,2020-11-29 16:57:48.758750
72.86000137329101,48.5,2020-11-29 16:58:34.647968
73.21999931335449,47.099998474121094,2020-11-29 16:59:07.864984
73.4,47.29999923706055,2020-11-29 16:59:28.427419
73.76000137329102,47.5,2020-11-29 16:59:51.524699
74.3,48.099998474121094,2020-11-29 17:00:29.793960
74.83999862670899,50.0,2020-11-29 17:01:05.555092
74.83999862670899,49.400001525878906,2020-11-29 17:01:26.109101
75.2,48.099998474121094,2020-11-29 17:01:56.806515
